item_key,model,pew_dist,matched_n_valid,tv_matched,matched_ppa_n_valid,tv_matched_ppa
WORRY2d_W54,llama31-instruct,"[0.19078273591806877, 0.16356986100950988, 0.378054133138259, 0.1745427944403804, 0.09305047549378201]",99,0.5108347557506299,100,0.171945866861741
WORRY2e_W54,llama31-instruct,"[0.23736328702335205, 0.1854862548034289, 0.3347620455217263, 0.13331362695832102, 0.10907478569317174]",100,0.5252379544782737,99,0.2511323701096092
SOCIETY_TRANS_W92,qwen25-instruct,"[0.18478260869565216, 0.14535573122529644, 0.2690711462450593, 0.15632411067193677, 0.24446640316205534]",100,0.4592094861660079,100,0.3638537549407114
SOCIETY_RELG_W92,qwen25-instruct,"[0.22148711365656168, 0.2519996050162931, 0.32507159079687964, 0.09647477041572035, 0.10496692011454528]",100,0.668000394983707,100,0.3215256245679866
SOCIETY_GUNS_W92,qwen25-instruct,"[0.3616707616707617, 0.1841769041769042, 0.2454054054054054, 0.1142997542997543, 0.09444717444717445]",100,0.4758230958230958,100,0.3941523341523341
SOCIETY_SSM_W92,qwen25-instruct,"[0.18628706531376218, 0.11368338094768989, 0.33011525958033694, 0.10550684661609694, 0.2644074475421141]",100,0.4964023248940991,100,0.2964023248940991
LEGALIMMIGAMT_W92,qwen25-instruct,"[0.12687312687312688, 0.12517482517482517, 0.44755244755244755, 0.189010989010989, 0.11138861138861139]",100,0.4255744255744256,100,0.278941058941059
ETHNCMAJMOD_W41,qwen25-instruct,"[0.07188498402555911, 0.15215654952076677, 0.4221246006389776, 0.17492012779552715, 0.17891373801916932]",100,0.4378753993610223,100,0.2140415335463259
INTRMAR_W41,qwen25-instruct,"[0.03588516746411483, 0.0773524720893142, 0.3975279106858054, 0.19497607655502391, 0.2942583732057416]",100,0.4074960127591707,100,0.1507655502392344
RACESURV5b_W43,qwen25-instruct,"[0.31236673773987206, 0.30414255254340544, 0.22738349070971672, 0.09016143770941212, 0.06594578129759367]",100,0.6076332622601279,100,0.3234907097167225
ECON5_d_W54,qwen25-instruct,"[0.5126173708920188, 0.14231220657276994, 0.0710093896713615, 0.1613849765258216, 0.11267605633802817]",100,0.3450704225352112,100,0.39768779342723
ECON5_b_W54,qwen25-instruct,"[0.03525264394829612, 0.0572855464159812, 0.17391304347826086, 0.1627497062279671, 0.5707990599294948]",100,0.5372502937720329,100,0.2047121034077555
EAT1_W34,qwen25-instruct,"[0.018167456556082148, 0.14533965244865718, 0.30963665086887837, 0.40442338072669826, 0.12243285939968404]",100,0.5855766192733016,100,0.2874091627172196
EAT2_W34,qwen25-instruct,"[0.0383399209486166, 0.308300395256917, 0.3075098814229249, 0.25612648221343876, 0.08972332015810276]",100,0.7038735177865612,100,0.4638735177865613
PP1_W49,qwen25-instruct,"[0.020666979802724285, 0.1592296852982621, 0.23790511977454204, 0.3233912635039925, 0.2588069516204791]",100,0.820770314701738,100,0.3001033348990136
CAREREL_W27,qwen25-instruct,"[0.37827352085354027, 0.2655189136760427, 0.1316682832201746, 0.12390882638215325, 0.10063045586808923]",100,0.6217264791464597,100,0.4017264791464597
CARS4_W27,qwen25-instruct,"[0.07364341085271318, 0.5985949612403101, 0.21705426356589147, 0.03972868217054264, 0.07097868217054264]",100,0.3514050387596898,100,0.0977616279069767
COHABDUR_W50,qwen25-instruct,"[0.15601965601965603, 0.25552825552825553, 0.1941031941031941, 0.19656019656019655, 0.1977886977886978]",100,0.4993366093366094,99,0.2558012558012558
ECON5_a_W54,qwen25-instruct,"[0.0919085312225154, 0.23995895631779537, 0.3059220170038112, 0.13910876575784228, 0.22310172969803577]",100,0.6940779829961887,100,0.4749692172383465
ECON5_c_W54,qwen25-instruct,"[0.09821166813251246, 0.2102022867194371, 0.32160656698915274, 0.2887716212254471, 0.0812078569334506]",100,0.6783934330108473,100,0.3896218117854002
ECON5_e_W54,qwen25-instruct,"[0.07929515418502203, 0.1844346549192364, 0.28193832599118945, 0.34948604992657856, 0.10484581497797357]",100,0.7180616740088106,99,0.2877675432741512
