item_key,baseline_tv,ppa_tv,describe_tv,vs_tv,domain,pew_entropy,entropy_bucket,source
FAMNEAR_W32,0.6368714168714169,0.32268632268632275,0.2377149877149877,0.19352989352989353,FACTS,0.7148239974618429,LO_ENT,E13_50
GAP21Q15_a_W82,0.6008517228029423,0.5908517228029424,0.162175764614789,0.17524196670538134,VALUES,0.8922636012851847,HI_ENT,E13_50
GAP21Q15_b_W82,0.48760650658404336,0.3301859024012394,0.19713400464756003,0.19713400464756003,VALUES,0.8538510912577898,LO_ENT,E13_50
GAP21Q15_c_W82,0.5789404485692189,0.25846867749419955,0.1677107501933488,0.1677107501933488,VALUES,0.8279417457219748,LO_ENT,E13_50
GAP21Q15_d_W82,0.5415695415695415,0.4515695415695416,0.2720668220668221,0.2720668220668221,VALUES,0.6939419151324957,LO_ENT,E13_50
GAP21Q15_e_W82,0.681656346749226,0.428250773993808,0.27321981424148606,0.27321981424148606,VALUES,0.735729380495081,LO_ENT,E13_50
GAP21Q15_f_W82,0.6990668740279937,0.3690668740279939,0.18351477449455675,0.29828926905132197,VALUES,0.8025127125743906,LO_ENT,E13_50
MADEUPSMCLICK_W45,0.6091172595520422,0.24341677646025472,0.10770750988142286,0.3077075098814229,FACTS,0.8840964465567805,LO_ENT,E13_50
NEIGHINTERA_W32,0.6739142187781582,0.38391421877815823,0.11616507478825013,0.15477563524959453,FACTS,0.9470152656345043,HI_ENT,E13_50
NEIGHINTERB_W32,0.6856379100850547,0.35034021871202914,0.2911907654921021,0.2764884568651276,FACTS,0.8242200999369056,LO_ENT,E13_50
NEIGHINTERC_W32,0.4731396500495213,0.3338824694618686,0.2183558930340046,0.2183558930340046,FACTS,0.8845842374403372,LO_ENT,E13_50
NEIGHINTERD_W32,0.11262679258481983,0.373920951381602,0.2512941587967821,0.2512941587967821,FACTS,0.5554404068157708,LO_ENT,E13_50
NEIGHSAMEA_W32,0.34381642512077293,0.31524959742351044,0.24782608695652175,0.24782608695652175,FACTS,0.8597958115414127,LO_ENT,E13_50
